Tournament Id,Stage Name,Group Name,Group Stage,Knockout Stage,Match Date,Home Team Name,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,year,home_elo,home_rank,home_conf,home_is_host,home_elo_max,home_elo_avg,home_elo_min,home_wins,home_losses,home_draws,home_goals_for,home_goals_against,home_matches_total,away_elo,away_rank,away_conf,away_is_host,away_elo_max,away_elo_avg,away_elo_min,away_wins,away_losses,away_draws,away_goals_for,away_goals_against,away_matches_total,elo_diff,rank_diff,goal_diff,home_win_rate,away_win_rate,home_goals_per_match,away_goals_per_match
WC-1954,third-place match,not applicable,0,1,1954-07-03,Austria,Uruguay,3,1,2,-2,0,0,0-0,0,0,2,1,0,0,1954,1949,6,UEFA,0,2070,1886,1785,122,87,51,623,489,260,1941,7,CONMEBOL,0,2104,1925,1718,135,107,52,580,447,294,8,-1,2,0.46923076923076923,0.45918367346938777,2.396153846153846,1.9727891156462585
WC-1958,group stage,Group 3,1,0,1958-06-08,Sweden,Mexico,3,0,3,-3,0,0,0-0,0,0,2,1,0,0,1958,1903,8,UEFA,0,2013,1752,1579,185,122,60,1007,698,367,1723,25,CONCACAF,1,1860,1712,1498,37,21,6,181,114,64,180,-17,3,0.5040871934604905,0.578125,2.7438692098092643,2.828125
WC-1958,group stage,Group 2,1,0,1958-06-08,France,Paraguay,7,3,4,-4,0,0,0-0,0,0,2,1,0,0,1958,1938,4,UEFA,0,1965,1640,1514,94,126,37,492,653,257,1765,18,CONMEBOL,0,1956,1764,1647,53,71,29,247,310,153,173,-14,4,0.3657587548638132,0.3464052287581699,1.9143968871595332,1.6143790849673203
WC-1958,group stage,Group 4,1,0,1958-06-08,Brazil,Austria,3,0,3,-3,0,0,0-0,0,0,2,1,0,0,1958,2142,1,CONMEBOL,0,2142,1924,1805,105,49,33,452,260,187,1822,13,UEFA,0,2070,1887,1785,133,99,59,685,551,291,320,-12,3,0.5614973262032086,0.4570446735395189,2.4171122994652405,2.3539518900343643
WC-1958,group stage,Group 2,1,0,1958-06-11,Paraguay,Scotland,3,2,1,-1,0,0,0-0,0,0,2,1,0,0,1958,1765,18,CONMEBOL,0,1956,1764,1647,53,71,29,247,310,153,1809,14,UEFA,0,2104,1956,1770,163,63,57,693,372,283,-44,4,1,0.3464052287581699,0.5759717314487632,1.6143790849673203,2.4487632508833923
WC-1958,group stage,Group 4,1,0,1958-06-11,Brazil,England,0,0,0,0,0,0,0-0,0,0,1,0,0,1,1958,2142,1,CONMEBOL,0,2142,1924,1805,105,49,33,452,260,187,1950,3,UEFA,0,2213,1997,1810,259,82,66,1304,522,407,192,-2,0,0.5614973262032086,0.6363636363636364,2.4171122994652405,3.203931203931204
WC-1958,group stage,Group 2,1,0,1958-06-15,France,Scotland,2,1,1,-1,0,0,0-0,0,0,2,1,0,0,1958,1938,4,UEFA,0,1965,1640,1514,94,126,37,492,653,257,1809,14,UEFA,0,2104,1956,1770,163,63,57,693,372,283,129,-10,1,0.3657587548638132,0.5759717314487632,1.9143968871595332,2.4487632508833923
WC-1958,group stage,Group 4,1,0,1958-06-15,England,Austria,2,2,0,0,0,0,0-0,0,0,1,0,0,1,1958,1950,3,UEFA,0,2213,1997,1810,259,82,66,1304,522,407,1822,13,UEFA,0,2070,1887,1785,133,99,59,685,551,291,128,-10,0,0.6363636363636364,0.4570446735395189,3.203931203931204,2.3539518900343643
WC-1958,semi-finals,not applicable,0,1,1958-06-24,Brazil,France,5,2,3,-3,0,0,0-0,0,0,2,1,0,0,1958,2142,1,CONMEBOL,0,2142,1924,1805,105,49,33,452,260,187,1938,4,UEFA,0,1965,1640,1514,94,126,37,492,653,257,204,-3,3,0.5614973262032086,0.3657587548638132,2.4171122994652405,1.9143968871595332
WC-1958,final,not applicable,0,1,1958-06-29,Brazil,Sweden,5,2,3,-3,0,0,0-0,0,0,2,1,0,0,1958,2142,1,CONMEBOL,0,2142,1924,1805,105,49,33,452,260,187,1903,8,UEFA,0,2013,1752,1579,185,122,60,1007,698,367,239,-7,3,0.5614973262032086,0.5040871934604905,2.4171122994652405,2.7438692098092643
WC-1962,group stage,Group 1,1,0,1962-05-30,Uruguay,Colombia,2,1,1,-1,0,0,0-0,0,0,2,1,0,0,1962,1857,13,CONMEBOL,0,2104,1923,1718,162,129,65,689,553,356,1458,80,CONMEBOL,0,1495,1356,1304,14,32,9,74,144,55,399,-67,1,0.4550561797752809,0.2545454545454545,1.9353932584269662,1.3454545454545455
WC-1962,group stage,Group 3,1,0,1962-05-30,Brazil,Mexico,2,0,2,-2,0,0,0-0,0,0,2,1,0,0,1962,2195,1,CONMEBOL,0,2195,1939,1805,141,55,37,570,308,233,1848,15,CONCACAF,1,1860,1721,1498,51,30,13,231,153,94,347,-14,2,0.6051502145922747,0.5425531914893617,2.4463519313304722,2.4574468085106385
WC-1962,group stage,Group 4,1,0,1962-06-02,England,Argentina,3,1,2,-2,0,0,0-0,0,0,2,1,0,0,1962,1942,6,UEFA,0,2213,1994,1810,277,92,75,1402,576,444,1961,5,CONMEBOL,0,2159,2018,1855,220,86,80,849,465,386,-19,1,2,0.6238738738738738,0.5699481865284974,3.1576576576576576,2.199481865284974
WC-1962,group stage,Group 3,1,0,1962-06-03,Spain,Mexico,1,0,1,-1,0,0,0-0,0,0,2,1,0,0,1962,1896,10,UEFA,0,2036,1930,1805,76,34,31,325,189,141,1848,15,CONCACAF,1,1860,1721,1498,51,30,13,231,153,94,48,-5,1,0.5390070921985816,0.5425531914893617,2.3049645390070923,2.4574468085106385
WC-1962,group stage,Group 3,1,0,1962-06-06,Brazil,Spain,2,1,1,-1,0,0,0-0,0,0,2,1,0,0,1962,2195,1,CONMEBOL,0,2195,1939,1805,141,55,37,570,308,233,1896,10,UEFA,0,2036,1930,1805,76,34,31,325,189,141,299,-9,1,0.6051502145922747,0.5390070921985816,2.4463519313304722,2.3049645390070923
